"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Washington","Anoka","Auto SOV","Eating Out",370.951364808999
"Pierce","St. Croix","Auto 2 Person","Shop",2360.77848789001
"St. Croix","Pierce","Auto 2 Person","Shop",2298.84536670219
"Pierce","Pierce","Auto 2 Person","Shop",2773.46660827178
"Pierce","Pierce","Walk","Maintenance",4846.14107695684
"St. Croix","St. Croix","Auto 2 Person","Shop",13741.2454370684
"Pierce","Pierce","TNR-Transit","School",4172.91328101278
"Anoka","Anoka","Drive-Transit","Work",1340.51747753525
"Anoka","Anoka","Walk-Transit","Work",1191.30009393048
"Hennepin","Hennepin","Walk-Transit","Escort",5766.55478640113
