HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
19315395,1,5,1,3,4,5,6,nan,nan,nan,nan,3,3
19315395,2,3,1,5,6,nan,nan,nan,nan,nan,nan,3,1
19315395,3,5,2,3,4,5,6,nan,nan,nan,nan,3,8
19316504,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
19319921,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,9
19322622,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,7
19324887,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19326616,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
19327416,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
19329032,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,8
19332560,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,1
19338774,1,3,2,4,5,nan,nan,nan,nan,nan,nan,3,6
19339661,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,8
19346931,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
19350060,1,4,1,3,4,5,nan,nan,nan,nan,nan,3,9
19351142,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19351812,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
19352124,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19353927,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19356685,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,7
19358349,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,3
19360768,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,5
19363906,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
19365588,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19366541,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19367778,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
19368051,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,1
19368923,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,3
19368923,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
19368923,3,3,1,2,3,nan,nan,nan,nan,nan,nan,3,3
19371232,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
